subject,status,sec,error,limit,limit_float,m_at_infinity,m_at_infinity_float,generic_rank,rank_at_infinity,method,has_weighting_at_infinity,poles_status,n_poles,largest_pole_t,degree_den
56,ok,39.84961024997756,,394/49,8.040816326530612,401/57,7.035087719298246,23.0,22.0,bordered determinant (generic full rank),True,ok,3.0,0.9824389155070237,125.0
57,ok,24.95500545797404,,23,23.0,23,23.0,23.0,23.0,bordered determinant (generic full rank),True,ok,3.0,0.11729307584685685,114.0
58,ok,27.463088750024326,,13,13.0,13,13.0,23.0,19.0,bordered determinant (generic full rank),True,ok,4.0,1.4897125753633174,120.0
59,ok,32.897160333930515,,10,10.0,11,11.0,23.0,19.0,bordered determinant (generic full rank),True,ok,2.0,1.289745340585538,120.0
60,ok,29.579353332985193,,25/3,8.333333333333334,25/3,8.333333333333334,23.0,23.0,bordered determinant (generic full rank),True,ok,2.0,0.6433522798369592,139.0
61,ok,33.057509333011694,,14,14.0,16,16.0,23.0,20.0,bordered determinant (generic full rank),True,ok,3.0,0.7508007738219157,128.0
62,ok,33.27626933401916,,21,21.0,21,21.0,23.0,21.0,bordered determinant (generic full rank),True,ok,5.0,1.395847906563414,121.0
63,ok,30.447575042024255,,46/3,15.333333333333334,46/3,15.333333333333334,23.0,21.0,bordered determinant (generic full rank),True,ok,3.0,0.5459062638476039,136.0
64,ok,16.117437500040978,,19,19.0,19,19.0,23.0,21.0,bordered determinant (generic full rank),True,ok,4.0,0.7781815758214046,93.0
65,ok,34.64795666595455,,23,23.0,23,23.0,23.0,23.0,bordered determinant (generic full rank),True,ok,3.0,0.38575011688765304,134.0
66,ok,33.183554875082336,,19,19.0,21,21.0,23.0,21.0,bordered determinant (generic full rank),True,ok,5.0,0.6056496473387352,112.0
67,ok,47.93363749992568,,15,15.0,15,15.0,23.0,23.0,bordered determinant (generic full rank),True,ok,5.0,0.6765662879474759,136.0
68,ok,34.02190954203252,,15,15.0,19,19.0,23.0,19.0,bordered determinant (generic full rank),True,ok,4.0,0.29989314074817996,120.0
69,ok,52.03196570905857,,323/29,11.137931034482758,14,14.0,23.0,18.0,bordered determinant (generic full rank),True,ok,3.0,0.8114543650111097,131.0
70,ok,36.390407250029966,,59/3,19.666666666666668,21,21.0,23.0,21.0,bordered determinant (generic full rank),True,ok,3.0,0.29211329210772985,132.0
71,ok,25.61082158307545,,134/11,12.181818181818182,13,13.0,23.0,22.0,bordered determinant (generic full rank),True,ok,4.0,1.4281478919695725,110.0
72,ok,19.742056792019866,,-19,-19.0,-19,-19.0,23.0,23.0,bordered determinant (generic full rank),True,ok,2.0,2.2470347411381257,119.0
73,ok,32.595070499926805,,66/7,9.428571428571429,12,12.0,23.0,21.0,bordered determinant (generic full rank),True,ok,2.0,0.26464124117592625,132.0
74,ok,42.49119191698264,,47/3,15.666666666666666,47/3,15.666666666666666,23.0,19.0,bordered determinant (generic full rank),True,ok,4.0,1.1187010210846124,135.0
75,timeout,300.0011368750129,,,,,,,,,,,,,
76,ok,34.443572625052184,,10,10.0,13,13.0,23.0,21.0,bordered determinant (generic full rank),True,ok,3.0,0.5917310024336647,128.0
77,ok,26.879745417041704,,21,21.0,22,22.0,23.0,22.0,bordered determinant (generic full rank),True,ok,5.0,0.6608532216841132,120.0
78,ok,56.728876416920684,,21,21.0,21,21.0,23.0,23.0,bordered determinant (generic full rank),True,ok,7.0,0.6486266594166415,137.0
79,ok,34.45227704197168,,13,13.0,13,13.0,23.0,21.0,bordered determinant (generic full rank),True,ok,4.0,0.7969481649285958,132.0
80,ok,32.61042874993291,,12,12.0,14,14.0,23.0,21.0,bordered determinant (generic full rank),True,ok,5.0,2.1522399717488017,128.0
81,ok,32.18944679200649,,144/11,13.090909090909092,15,15.0,23.0,19.0,bordered determinant (generic full rank),True,ok,4.0,1.0781902159487728,117.0
82,ok,37.683916875044815,,21,21.0,22,22.0,23.0,22.0,bordered determinant (generic full rank),True,ok,5.0,0.4952551563445693,129.0
83,ok,41.3757275409298,,19,19.0,19,19.0,23.0,23.0,bordered determinant (generic full rank),True,ok,6.0,0.9333105224563134,139.0
84,ok,29.368534332956187,,18,18.0,18,18.0,23.0,22.0,bordered determinant (generic full rank),True,ok,6.0,1.6405451786260536,111.0
85,ok,37.42188391694799,,57/5,11.4,57/5,11.4,23.0,21.0,bordered determinant (generic full rank),True,ok,4.0,1.7157773867377923,132.0
86,ok,7.372429957962595,,17,17.0,18,18.0,23.0,22.0,bordered determinant (generic full rank),True,ok,3.0,0.3598777271034323,77.0
87,ok,27.27282287494745,,46/5,9.2,9,9.0,23.0,22.0,bordered determinant (generic full rank),True,ok,3.0,0.4675949453579304,128.0
